"region","party","n"
"AB","LIB(AB)",3
"AB","NDP(AB)",32
"AB","UCP",52
"BC","BCG",2
"BC","CPBC",44
"BC","NDP(BC)",47
"MB","NDP(MB)",41
"MB","PC(MB)",16
"NB","LIB(NB)",35
"NB","NBG",2
"NB","PC(NB)",12
"NL","LIB(NL)",18
"NL","NDP(NL)",5
"NL","PC(NL)",17
"NS","NDP(NS)",7
"NS","PC(NS)",48
"ON","GPO",1
"ON","OLP",14
"ON","ONDP",23
"ON","PCPO",86
"PEI","GPPEI",5
"PEI","LIB(PEI)",2
"PEI","NDP(PEI)",1
"PEI","PC(PEI)",19
"QC","PCQ",9
"QC","PLQ",33
"QC","PQ",81
"QC","QS",2
"SK","NDP(SK)",29
"SK","SKP",32
